source_url,anchor_text,link_url,rel,nofollow,context
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/,,False,University of the Punjab
https://pu.edu.pk/page/show/contact-us.html,Donate,https://alumni.pu.edu.pk/home/news/910/,,False,"Donate
                        
                         
                	Staff A - Z"
https://pu.edu.pk/page/show/contact-us.html,Staff A - Z,https://pu.edu.pk/home/allstaff,,False,"Donate
                        
                         
                	Staff A - Z"
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/home/dec,https://pu.edu.pk/js/resp/stylesheets/main.css,False,"Donate
                        
                         
                	Staff A - Z"
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/home/inc,https://pu.edu.pk/css/styles3.css,False,"Donate
                        
                         
                	Staff A - Z"
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/,,False,"University of the Punjab                 
                        

  

    
					
						
							
							
							
						
					
				
                
                        	                
                	Donate
                        
                         
                	Staff A - Z
                        
                  
     
           

    
                    
                        
                
                        Estb. 1882                 University of the Punjab"
https://pu.edu.pk/page/show/contact-us.html,Donate,https://alumni.pu.edu.pk/home/news/910/,,False,"Donate
                    
                    
                        
                         
                	Staff A - Z
                    
                    
                        
                                  	
                                              
                                          
                                                
     
           
     
     
         
     
Language
    en
    ur"
https://pu.edu.pk/page/show/contact-us.html,Staff A - Z,https://pu.edu.pk/home/allstaff,,False,"Donate
                    
                    
                        
                         
                	Staff A - Z
                    
                    
                        
                                  	
                                              
                                          
                                                
     
           
     
     
         
     
Language
    en
    ur"
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/home/dec,https://pu.edu.pk/js/resp/stylesheets/main.css,False,"Donate
                    
                    
                        
                         
                	Staff A - Z
                    
                    
                        
                                  	
                                              
                                          
                                                
     
           
     
     
         
     
Language
    en
    ur"
https://pu.edu.pk/page/show/contact-us.html,,https://pu.edu.pk/home/inc,https://pu.edu.pk/css/styles3.css,False,"Donate
                    
                    
                        
                         
                	Staff A - Z
                    
                    
                        
                                  	
                                              
                                          
                                                
     
           
     
     
         
     
Language
    en
    ur"
https://pu.edu.pk/page/show/contact-us.html,Quick Links,https://pu.edu.pk/home/more/6,,False,"Quick Links
                        
                         
                	Info Desk
                        
                         
                	Site Map
                        
                         
                	Careers
                        
                         
                	FAQs
                        
                         
                	Contact Us
                        
                         
                	Donate"
https://pu.edu.pk/page/show/contact-us.html,Info Desk,https://pu.edu.pk/page/show/infodesk.html,,False,"Quick Links
                        
                         
                	Info Desk
                        
                         
                	Site Map
                        
                         
                	Careers
                        
                         
                	FAQs
                        
                         
                	Contact Us
                        
                         
                	Donate"
